Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBase,,,,384.813,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,216.665,56.3,447185,0,447185,100.0,1285310,0,1285310,48.86
,,,,,,8,215.185,55.92,447185,0,447185,100.0,1273470,0,1273470,48.41
,,,,,,16,225.863,58.69,447185,0,447185,100.0,1358900,0,1358900,51.66
,,,,,,32,230.881,60.0,447185,0,447185,100.0,1399040,0,1399040,53.19
,,,,,,64,232.238,60.35,447185,0,447185,100.0,1409900,0,1409900,53.6
,,,,,,128,232.665,60.46,447185,0,447185,100.0,1413310,0,1413310,53.73
,,,,,,256,235.280,61.14,447185,0,447185,100.0,1434230,0,1434230,54.52
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,216.665,56.3,447185,0,447185,100.0,1285310,0,1285310,48.86
,,,,,,8,215.185,55.92,447185,0,447185,100.0,1273470,0,1273470,48.41
,,,,,,16,225.863,58.69,447185,0,447185,100.0,1358900,0,1358900,51.66
,,,,,,32,230.881,60.0,447185,0,447185,100.0,1399040,0,1399040,53.19
,,,,,,64,232.238,60.35,447185,0,447185,100.0,1409900,0,1409900,53.6
,,,,,,128,232.665,60.46,447185,0,447185,100.0,1413310,0,1413310,53.73
,,,,,,256,235.280,61.14,447185,0,447185,100.0,1434230,0,1434230,54.52
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,200.948,52.22,447185,0,447185,100.0,1159580,0,1159580,44.08
,,,,,,8,191.997,49.89,447185,0,447185,100.0,1087970,0,1087970,41.36
,,,,,,16,199.051,51.73,447185,0,447185,100.0,1144400,0,1144400,43.51
,,,,,,32,205.693,53.45,447185,0,447185,100.0,1197540,0,1197540,45.53
,,,,,,64,212.236,55.15,447185,0,447185,100.0,1249880,0,1249880,47.51
,,,,,,128,218.853,56.87,447185,0,447185,100.0,1302820,0,1302820,49.53
,,,,,,256,228.586,59.4,447185,0,447185,100.0,1380680,0,1380680,52.49
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,167.885,43.63,447185,0,447185,100.0,895070,0,895070,34.03
,,,,,,8,141.046,36.65,447185,0,447185,100.0,680360,0,680360,25.86
,,,,,,16,138.095,35.89,447185,0,447185,100.0,656750,0,656750,24.97
,,,,,,32,146.832,38.16,447185,0,447185,100.0,726650,0,726650,27.62
,,,,,,64,164.907,42.85,447185,0,447185,100.0,871250,0,871250,33.12
,,,,,,128,188.373,48.95,447185,0,447185,100.0,1058980,0,1058980,40.26
,,,,,,256,213.605,55.51,447185,0,447185,100.0,1260830,0,1260830,47.93
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,150.938,39.22,447185,0,447185,100.0,759500,0,759500,28.87
,,,,,,8,113.002,29.37,447185,0,447185,100.0,456010,0,456010,17.34
,,,,,,16,102.807,26.72,447185,0,447185,100.0,374450,0,374450,14.23
,,,,,,32,108.392,28.17,447185,0,447185,100.0,419130,0,419130,15.93
,,,,,,64,128.446,33.38,447185,0,447185,100.0,579560,0,579560,22.03
,,,,,,128,156.623,40.7,447185,0,447185,100.0,804980,0,804980,30.6
,,,,,,256,189.698,49.3,447185,0,447185,100.0,1069580,0,1069580,40.66
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,149.322,38.8,447185,0,447185,100.0,746570,0,746570,28.38
,,,,,,8,108.837,28.28,447185,0,447185,100.0,422690,0,422690,16.07
,,,,,,16,94.838,24.65,447185,0,447185,100.0,310700,0,310700,11.81
,,,,,,32,95.682,24.86,447185,0,447185,100.0,317450,0,317450,12.07
,,,,,,64,108.837,28.28,447185,0,447185,100.0,422690,0,422690,16.07
,,,,,,128,130.906,34.02,447185,0,447185,100.0,599240,0,599240,22.78
,,,,,,256,162.923,42.34,447185,0,447185,100.0,855380,0,855380,32.52
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,148.868,38.69,447185,0,447185,100.0,742940,0,742940,28.24
,,,,,,8,107.630,27.97,447185,0,447185,100.0,413030,0,413030,15.7
,,,,,,16,92.326,23.99,447185,0,447185,100.0,290600,0,290600,11.05
,,,,,,32,91.962,23.9,447185,0,447185,100.0,287690,0,287690,10.94
,,,,,,64,102.773,26.71,447185,0,447185,100.0,374180,0,374180,14.22
,,,,,,128,123.445,32.08,447185,0,447185,100.0,539550,0,539550,20.51
,,,,,,256,152.086,39.52,447185,0,447185,100.0,768680,0,768680,29.22
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,148.385,38.56,447185,0,447185,100.0,739070,0,739070,28.1
,,,,,,8,106.291,27.62,447185,0,447185,100.0,402320,0,402320,15.29
,,,,,,16,89.401,23.23,447185,0,447185,100.0,267200,0,267200,10.16
,,,,,,32,86.692,22.53,447185,0,447185,100.0,245530,0,245530,9.33
,,,,,,64,94.898,24.66,447185,0,447185,100.0,311180,0,311180,11.83
,,,,,,128,110.110,28.61,447185,0,447185,100.0,432870,0,432870,16.46
,,,,,,256,136.786,35.55,447185,0,447185,100.0,646280,0,646280,24.57
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,188.355,48.95,447185,0,447185,100.0,1058832,0,1058832,40.25
,,,,,,8,155.912,40.52,447185,0,447185,100.0,799292,0,799292,30.39
,,,,,,16,142.729,37.09,447185,0,447185,100.0,693826,0,693826,26.38
,,,,,,32,139.433,36.23,447185,0,447185,100.0,667455,0,667455,25.37
,,,,,,64,140.621,36.54,447185,0,447185,100.0,676960,0,676960,25.74
,,,,,,128,143.793,37.37,447185,0,447185,100.0,702338,0,702338,26.7
,,,,,,256,147.846,38.42,447185,0,447185,100.0,734760,0,734760,27.93
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,188.355,48.95,447185,0,447185,100.0,1058832,0,1058832,40.25
,,,,,,8,155.912,40.52,447185,0,447185,100.0,799292,0,799292,30.39
,,,,,,16,142.729,37.09,447185,0,447185,100.0,693826,0,693826,26.38
