DATASET:,IRKIS
FILENAME:,vwc_1202.dat
Timestamp,-10cm_A,-30cm_A,-50cm_A,-80cm_A,-120cm_A,-10cm_B,-30cm_B,-50cm_B,-80cm_B,-120cm_B
2010-10-01 00:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
01:00:00,N,N,N,N,N,N,N,N,N,N
