DATASET:,NOAA-2016
FILENAME:,TAO_T2S125W_D_SST_10min.ascii
Timestamp,SST,Q,M
2016-01-01 00:00:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
00:10:00,N,9,D
