Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,5,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 7, 14, 0, 11, 13, 0, 11, 12, 0, 12, 10, 1, 12, 9, 1, 13, 9, 1, 12, 9, 1, 12, 10, 1, 11, 10, 1, 10, 11, 1, 9, 12, 1, 9, 12, 1, 9, 12, 1, 9, 11, 1, 9, 11, 1, 9, 11, 1, 9, 10, 1, 8, 9, 1, 8, 9, 1, 8, 8, 1, 8, 8, 1, 7, 8, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 1, 8, 6, 1, 8, 6, 1, 8, 6, 1, 8, 6, 1, 7, 6, 1, 10, 8, 1, 8, 6, 1, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 2, 1, 0, 5, 9, 0, 5, 8, 0, 5, 8, 0, 6, 7, 0, 6, 7, 0, 6, 6, 0, 7, 6, 0, 7, 6, 0, 6, 6, 0, 6, 6, 1, 6, 6, 1, 6, 5, 1, 5, 5, 1, 4, 5, 1, 4, 5, 1, 4, 5, 1, 4, 5, 1, 4, 5, 1, 5, 4, 1, 5, 4, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 5, 3, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 0, 1, 1, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 6, 3, 0, 10, 6, 0, 11, 6, 0, 11, 6, 0, 12, 6, 0, 13, 6, 0, 13, 6, 0, 14, 6, 0, 14, 7, 0, 15, 7, 0, 15, 8, 0, 15, 8, 0, 15, 8, 0, 14, 7, 0, 13, 7, 0, 12, 6, 0, 10, 6, 0, 10, 6, 0, 9, 7, 0, 8, 7, 0, 8, 7, 0, 7, 7, 0, 6, 7, 0, 5, 7, 0, 5, 7, 0, 4, 8, 0, 4, 8, 0, 4, 8, 0, 4, 8, 1, 4, 8, 1, 4, 8, 1, 4, 8, 1, 3, 7, 1, 4, 8, 1, 4, 8, 1, 4, 8, 1, 4, 8, 1, 5, 8, 1, 5, 7, 1, 5, 6, 1, 4, 6, 1, 4, 6, 1, 4, 5, 1, 5, 5, 1, 5, 5, 1, 5, 4, 1, 5, 4, 1, 5, 3, 1, 4, 3, 0, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,431.155,73.87,2.720,23.81,3.361.155,73.51
,,,,,,10,433.880,74.34,1.449,12.68,3.384.224,74.02
,,,,,,25,444.171,76.1,616,5.39,3.467.388,75.83
,,,,,,50,464.260,79.55,345,3.02,3.628.368,79.36
,,,,,,100,486.388,83.34,192,1.68,3.805.548,83.23
,,,,,,200,510.036,87.39,125,1.09,3.994.800,87.37
,,,,10,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 13, 27, 1, 22, 27, 1, 23, 23, 1, 24, 20, 1, 25, 18, 1, 26, 18, 1, 25, 18, 1, 23, 19, 1, 21, 21, 2, 20, 23, 2, 18, 24, 2, 18, 24, 2, 17, 23, 2, 18, 23, 2, 18, 22, 2, 18, 21, 2, 17, 20, 2, 17, 19, 2, 16, 17, 2, 16, 16, 2, 15, 16, 2, 15, 15, 2, 15, 15, 2, 14, 15, 2, 14, 15, 2, 14, 14, 2, 14, 14, 2, 14, 14, 2, 14, 14, 2, 15, 13, 2, 15, 13, 2, 15, 13, 1, 15, 13, 1, 15, 12, 1, 15, 12, 1, 15, 12, 1, 19, 15, 1, 17, 12, 1, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 5, 2, 0, 10, 18, 1, 10, 17, 1, 11, 16, 1, 12, 15, 1, 12, 13, 1, 13, 12, 1, 13, 12, 1, 13, 11, 1, 13, 11, 1, 13, 11, 1, 12, 11, 1, 11, 11, 1, 10, 10, 1, 9, 10, 1, 8, 10, 1, 8, 10, 1, 8, 10, 1, 9, 9, 1, 10, 8, 1, 10, 8, 1, 11, 7, 2, 11, 6, 2, 11, 6, 2, 10, 6, 2, 10, 6, 2, 10, 6, 2, 10, 6, 2, 10, 6, 3, 10, 6, 3, 10, 6, 3, 10, 6, 3, 10, 5, 3, 9, 5, 3, 9, 5, 3, 8, 5, 3, 7, 5, 3, 7, 5, 3, 6, 5, 2, 6, 5, 2, 6, 5, 2, 5, 4, 2, 5, 4, 2, 5, 4, 2, 5, 4, 2, 4, 3, 2, 1, 2, 2, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 11, 7, 1, 20, 12, 1, 22, 12, 1, 23, 12, 1, 24, 12, 1, 25, 12, 1, 26, 12, 1, 27, 13, 1, 28, 13, 1, 29, 14, 1, 30, 15, 1, 30, 16, 1, 29, 16, 1, 27, 15, 1, 26, 14, 1, 23, 13, 1, 21, 12, 1, 19, 13, 1, 18, 13, 1, 17, 14, 1, 16, 14, 1, 14, 13, 1, 12, 13, 1, 10, 14, 1, 9, 14, 1, 9, 16, 1, 9, 16, 1, 8, 16, 1, 8, 17, 1, 7, 16, 1, 7, 16, 1, 7, 16, 2, 7, 15, 2, 7, 15, 2, 7, 15, 2, 8, 16, 2, 9, 16, 3, 9, 15, 3, 9, 14, 3, 9, 13, 3, 9, 12, 3, 9, 11, 3, 9, 10, 3, 9, 10, 3, 10, 9, 2, 10, 8, 2, 10, 7, 2, 10, 7, 2, 7, 6, 1, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,352.857,60.46,2.720,23.81,2.734.770,59.81
,,,,,,10,348.226,59.67,1.449,12.68,2.698.992,59.03
,,,,,,25,353.119,60.5,616,5.39,2.738.972,59.9
,,,,,,50,367.852,63.03,345,3.02,2.857.104,62.49
,,,,,,100,384.624,65.9,192,1.68,2.991.436,65.43
,,,,,,200,402.916,69.04,125,1.09,3.137.840,68.63
,,,,15,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 20, 41, 1, 33, 40, 1, 34, 35, 1, 36, 31, 2, 37, 28, 2, 39, 26, 2, 37, 27, 2, 35, 29, 2, 32, 31, 2, 29, 34, 3, 28, 36, 3, 26, 36, 3, 26, 35, 3, 27, 34, 3, 27, 33, 3, 27, 32, 3, 26, 30, 3, 25, 28, 3, 24, 26, 3, 24, 25, 3, 23, 23, 3, 22, 23, 3, 22, 22, 3, 22, 22, 3, 22, 22, 3, 21, 22, 3, 21, 21, 3, 21, 21, 3, 21, 21, 2, 22, 20, 2, 22, 20, 2, 23, 19, 2, 23, 19, 2, 23, 19, 2, 23, 19, 2, 22, 19, 2, 29, 23, 2, 25, 18, 2, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 7, 3, 1, 15, 27, 1, 15, 25, 1, 16, 24, 1, 17, 22, 1, 19, 20, 1, 19, 18, 1, 20, 18, 1, 20, 17, 1, 19, 17, 1, 19, 17, 2, 18, 17, 2, 17, 16, 2, 15, 16, 2, 13, 15, 2, 12, 15, 2, 11, 15, 2, 12, 15, 2, 13, 14, 2, 14, 13, 2, 15, 11, 2, 16, 10, 2, 16, 9, 3, 16, 9, 3, 15, 9, 3, 15, 9, 3, 15, 9, 4, 15, 9, 4, 15, 9, 4, 16, 9, 4, 16, 9, 4, 15, 9, 4, 15, 8, 4, 14, 8, 4, 13, 7, 4, 12, 7, 4, 11, 7, 4, 10, 7, 4, 9, 7, 4, 9, 7, 4, 9, 7, 3, 8, 7, 3, 8, 6, 3, 7, 6, 3, 7, 6, 3, 6, 5, 3, 1, 3, 3, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 17, 10, 1, 29, 18, 1, 32, 18, 1, 34, 18, 1, 36, 18, 1, 38, 18, 1, 40, 18, 1, 41, 19, 1, 43, 20, 1, 44, 21, 1, 45, 23, 1, 44, 23, 1, 44, 23, 1, 41, 22, 1, 38, 21, 1, 35, 19, 1, 31, 19, 1, 29, 19, 1, 27, 20, 1, 25, 20, 1, 24, 21, 1, 20, 20, 1, 18, 20, 1, 15, 21, 1, 14, 22, 1, 13, 23, 1, 13, 24, 1, 12, 24, 1, 11, 25, 2, 11, 25, 2, 11, 24, 2, 11, 23, 3, 10, 22, 3, 11, 23, 3, 11, 23, 3, 12, 24, 4, 13, 24, 4, 14, 23, 4, 14, 21, 4, 14, 19, 4, 13, 18, 4, 13, 17, 4, 13, 16, 4, 14, 15, 4, 14, 14, 4, 15, 12, 4, 15, 11, 3, 15, 10, 3, 11, 8, 1, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,303.936,52.08,2.720,23.81,2.343.405,51.25
,,,,,,10,291.988,50.03,1.449,12.68,2.249.088,49.19
,,,,,,25,292.947,50.19,616,5.39,2.257.600,49.38
,,,,,,50,304.141,52.11,345,3.02,2.347.416,51.34
,,,,,,100,317.373,54.38,192,1.68,2.453.432,53.66
,,,,,,200,332.126,56.91,125,1.09,2.571.520,56.24
,,,,20,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 26, 55, 2, 43, 54, 2, 46, 46, 2, 48, 41, 2, 50, 37, 2, 52, 35, 2, 50, 35, 3, 47, 38, 3, 43, 42, 3, 39, 45, 3, 37, 48, 4, 35, 48, 4, 35, 47, 4, 35, 46, 4, 36, 44, 4, 36, 42, 4, 35, 40, 4, 34, 37, 4, 33, 35, 4, 31, 33, 4, 31, 31, 4, 30, 30, 4, 29, 30, 4, 29, 29, 4, 29, 29, 4, 29, 29, 4, 29, 29, 4, 28, 28, 3, 29, 27, 3, 29, 27, 3, 30, 26, 3, 30, 26, 3, 31, 25, 3, 31, 25, 3, 30, 25, 3, 30, 25, 2, 39, 30, 2, 33, 24, 3, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 9, 5, 1, 20, 36, 1, 21, 34, 1, 22, 31, 1, 23, 29, 2, 25, 27, 2, 26, 25, 2, 26, 23, 2, 26, 23, 2, 26, 22, 2, 25, 22, 2, 24, 22, 2, 22, 22, 2, 20, 21, 2, 17, 20, 2, 16, 21, 2, 15, 20, 2, 16, 19, 2, 18, 18, 2, 19, 17, 3, 21, 15, 3, 21, 13, 3, 21, 12, 3, 21, 12, 4, 21, 12, 4, 20, 12, 4, 20, 12, 5, 20, 12, 5, 21, 12, 5, 21, 12, 5, 21, 12, 5, 21, 12, 6, 20, 11, 5, 19, 10, 5, 17, 10, 5, 16, 10, 5, 15, 10, 5, 13, 10, 5, 13, 10, 5, 12, 10, 5, 11, 9, 5, 11, 9, 5, 10, 8, 4, 10, 8, 4, 9, 7, 4, 8, 7, 4, 1, 4, 5, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 22, 14, 1, 39, 23, 2, 43, 24, 1, 46, 24, 1, 48, 24, 1, 50, 24, 1, 53, 24, 1, 55, 25, 1, 57, 27, 1, 59, 29, 1, 59, 30, 1, 59, 31, 1, 58, 31, 1, 55, 30, 1, 51, 28, 1, 46, 26, 1, 41, 25, 1, 38, 25, 1, 36, 26, 1, 33, 27, 1, 31, 28, 1, 27, 27, 1, 24, 27, 1, 20, 28, 1, 18, 29, 1, 18, 31, 2, 17, 32, 2, 16, 32, 2, 15, 34, 2, 15, 33, 2, 15, 33, 3, 14, 31, 3, 14, 30, 4, 14, 30, 4, 14, 31, 5, 16, 32, 5, 17, 32, 5, 18, 30, 5, 18, 28, 5, 18, 26, 5, 18, 23, 5, 17, 22, 5, 18, 21, 5, 18, 20, 5, 19, 18, 5, 20, 16, 5, 20, 15, 5, 20, 13, 4, 15, 11, 2, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,270.102,46.28,2.720,23.81,2.072.730,45.33
,,,,,,10,251.062,43.02,1.449,12.68,1.921.680,42.03
,,,,,,25,248.624,42.6,616,5.39,1.903.014,41.62
,,,,,,50,257.176,44.06,345,3.02,1.971.702,43.12
,,,,,,100,267.800,45.88,192,1.68,2.056.845,44.99
,,,,,,200,279.944,47.97,125,1.09,2.154.060,47.11
,,,,30,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 39, 82, 3, 65, 81, 3, 68, 69, 3, 72, 61, 3, 75, 55, 3, 78, 53, 4, 75, 53, 4, 70, 57, 4, 64, 63, 5, 59, 68, 5, 55, 71, 5, 53, 72, 6, 52, 70, 6, 53, 69, 6, 54, 66, 6, 54, 63, 6, 52, 60, 6, 51, 56, 6, 49, 52, 6, 47, 49, 6, 46, 47, 6, 45, 45, 6, 44, 44, 6, 43, 44, 6, 43, 44, 6, 43, 43, 6, 43, 43, 5, 43, 42, 5, 43, 41, 5, 44, 40, 5, 44, 39, 5, 45, 38, 4, 46, 38, 4, 46, 37, 4, 46, 37, 4, 45, 37, 4, 58, 46, 3, 50, 36, 4, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 14, 7, 1, 30, 53, 2, 31, 51, 2, 33, 47, 2, 35, 44, 2, 37, 40, 3, 39, 37, 3, 40, 35, 3, 39, 34, 3, 39, 34, 3, 38, 34, 3, 36, 33, 3, 34, 33, 3, 29, 31, 3, 26, 31, 3, 23, 31, 3, 23, 30, 3, 24, 29, 3, 26, 28, 4, 29, 25, 4, 31, 23, 4, 32, 20, 5, 32, 18, 5, 32, 18, 6, 31, 18, 6, 30, 18, 7, 30, 18, 7, 31, 18, 7, 31, 18, 8, 31, 18, 8, 31, 18, 8, 31, 17, 8, 29, 16, 8, 28, 15, 8, 26, 15, 8, 24, 15, 8, 22, 15, 8, 20, 15, 8, 19, 15, 7, 18, 15, 7, 17, 14, 7, 16, 13, 7, 16, 12, 7, 15, 11, 6, 14, 11, 6, 12, 10, 6, 2, 6, 7, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 33, 21, 2, 59, 35, 2, 65, 36, 2, 68, 36, 2, 72, 36, 2, 76, 36, 2, 79, 36, 2, 82, 38, 2, 85, 40, 2, 88, 43, 2, 89, 45, 2, 89, 47, 2, 87, 47, 2, 82, 45, 2, 77, 42, 2, 69, 39, 2, 62, 37, 2, 57, 38, 2, 54, 40, 2, 50, 41, 2, 47, 42, 2, 41, 40, 2, 36, 40, 2, 31, 42, 2, 27, 43, 2, 27, 47, 2, 26, 48, 2, 24, 49, 3, 23, 51, 3, 22, 49, 4, 22, 49, 4, 22, 47, 5, 21, 45, 6, 21, 45, 6, 21, 46, 7, 23, 48, 7, 26, 48, 8, 27, 45, 8, 28, 42, 8, 27, 38, 8, 26, 35, 8, 26, 33, 8, 27, 31, 8, 27, 29, 8, 29, 27, 7, 29, 25, 7, 30, 22, 7, 31, 20, 7, 22, 17, 2, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,225.304,38.6,2.720,23.81,1.714.350,37.49
,,,,,,10,193.596,33.17,1.449,12.68,1.461.952,31.97
,,,,,,25,184.294,31.58,616,5.39,1.388.373,30.36
,,,,,,50,188.821,32.35,345,3.02,1.424.862,31.16
,,,,,,100,195.640,33.52,192,1.68,1.479.568,32.36
,,,,,,200,203.986,34.95,125,1.09,1.546.400,33.82
,,,CoderCA,0,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,534.882,91.65,4.520,39.57,4.189.170,91.62
,,,,,,10,544.706,93.33,2.604,22.79,4.269.680,93.38
,,,,,,25,561.846,96.27,1.188,10.4,4.408.219,96.41
,,,,,,50,588.824,100.89,690,6.04,4.624.542,101.14
,,,,,,100,617.852,105.86,384,3.36,4.857.065,106.23
,,,,,,200,648.409,111.1,250,2.19,5.101.660,111.58
