Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,Global,,CoderBase,,,,2690504,100.0,3126589,0,3126589,100.0,18391700,0,18391700,100.0
,,,CoderPCA,0,,4,1473498,54.77,3126589,0,3126589,100.0,8655640,0,8655640,47.06
,,,,,,8,1452125,53.97,3126589,0,3126589,100.0,8484660,0,8484660,46.13
,,,,,,16,1531186,56.91,3126589,0,3126589,100.0,9117150,0,9117150,49.57
,,,,,,32,1581386,58.78,3126589,0,3126589,100.0,9518750,0,9518750,51.76
,,,,,,64,1613103,59.96,3126589,0,3126589,100.0,9772480,0,9772480,53.14
,,,,,,128,1641698,61.02,3126589,0,3126589,100.0,10001240,0,10001240,54.38
,,,,,,256,1674592,62.24,3126589,0,3126589,100.0,10264400,0,10264400,55.81
,,,,1,,4,1419434,52.76,3126589,0,3126589,100.0,8223130,0,8223130,44.71
,,,,,,8,1378800,51.25,3126589,0,3126589,100.0,7898060,0,7898060,42.94
,,,,,,16,1455342,54.09,3126589,0,3126589,100.0,8510400,0,8510400,46.27
,,,,,,32,1518649,56.44,3126589,0,3126589,100.0,9016860,0,9016860,49.03
,,,,,,64,1568452,58.3,3126589,0,3126589,100.0,9415270,0,9415270,51.19
,,,,,,128,1615504,60.04,3126589,0,3126589,100.0,9791690,0,9791690,53.24
,,,,,,256,1664711,61.87,3126589,0,3126589,100.0,10185350,0,10185350,55.38
,,,,3,,4,1265286,47.03,3126589,0,3126589,100.0,6989950,0,6989950,38.01
,,,,,,8,1161756,43.18,3126589,0,3126589,100.0,6161710,0,6161710,33.5
,,,,,,16,1228656,45.67,3126589,0,3126589,100.0,6696900,0,6696900,36.41
,,,,,,32,1331720,49.5,3126589,0,3126589,100.0,7521420,0,7521420,40.9
,,,,,,64,1432922,53.26,3126589,0,3126589,100.0,8331040,0,8331040,45.3
,,,,,,128,1518983,56.46,3126589,0,3126589,100.0,9019530,0,9019530,49.04
,,,,,,256,1607975,59.76,3126589,0,3126589,100.0,9731450,0,9731450,52.91
,,,,5,,4,1128172,41.93,3126589,0,3126589,100.0,5893030,0,5893030,32.04
,,,,,,8,934170,34.72,3126589,0,3126589,100.0,4341010,0,4341010,23.6
,,,,,,16,945907,35.16,3126589,0,3126589,100.0,4434900,0,4434900,24.11
,,,,,,32,1062795,39.5,3126589,0,3126589,100.0,5370020,0,5370020,29.2
,,,,,,64,1225180,45.54,3126589,0,3126589,100.0,6669100,0,6669100,36.26
,,,,,,128,1379125,51.26,3126589,0,3126589,100.0,7900660,0,7900660,42.96
,,,,,,256,1521274,56.54,3126589,0,3126589,100.0,9037850,0,9037850,49.14
,,,,10,,4,1054597,39.2,3126589,0,3126589,100.0,5304430,0,5304430,28.84
,,,,,,8,797712,29.65,3126589,0,3126589,100.0,3249360,0,3249360,17.67
,,,,,,16,746105,27.73,3126589,0,3126589,100.0,2836500,0,2836500,15.42
,,,,,,32,826421,30.72,3126589,0,3126589,100.0,3479020,0,3479020,18.92
,,,,,,64,1006333,37.4,3126589,0,3126589,100.0,4918330,0,4918330,26.74
,,,,,,128,1213231,45.09,3126589,0,3126589,100.0,6573510,0,6573510,35.74
,,,,,,256,1403335,52.16,3126589,0,3126589,100.0,8094350,0,8094350,44.01
,,,,15,,4,1045139,38.85,3126589,0,3126589,100.0,5228770,0,5228770,28.43
,,,,,,8,770650,28.64,3126589,0,3126589,100.0,3032850,0,3032850,16.49
,,,,,,16,690117,25.65,3126589,0,3126589,100.0,2388600,0,2388600,12.99
,,,,,,32,731482,27.19,3126589,0,3126589,100.0,2719520,0,2719520,14.79
,,,,,,64,887026,32.97,3126589,0,3126589,100.0,3963880,0,3963880,21.55
,,,,,,128,1098931,40.84,3126589,0,3126589,100.0,5659110,0,5659110,30.77
,,,,,,256,1305798,48.53,3126589,0,3126589,100.0,7314050,0,7314050,39.77
,,,,20,,4,1040212,38.66,3126589,0,3126589,100.0,5189350,0,5189350,28.22
,,,,,,8,754803,28.05,3126589,0,3126589,100.0,2906080,0,2906080,15.8
,,,,,,16,656517,24.4,3126589,0,3126589,100.0,2119800,0,2119800,11.53
,,,,,,32,671148,24.95,3126589,0,3126589,100.0,2236850,0,2236850,12.16
,,,,,,64,793551,29.49,3126589,0,3126589,100.0,3216070,0,3216070,17.49
,,,,,,128,994951,36.98,3126589,0,3126589,100.0,4827260,0,4827260,26.25
,,,,,,256,1211767,45.04,3126589,0,3126589,100.0,6561800,0,6561800,35.68
,,,,30,,4,1035782,38.5,3126589,0,3126589,100.0,5153920,0,5153920,28.02
,,,,,,8,741241,27.55,3126589,0,3126589,100.0,2797580,0,2797580,15.21
,,,,,,16,625936,23.26,3126589,0,3126589,100.0,1875150,0,1875150,10.2
,,,,,,32,615387,22.87,3126589,0,3126589,100.0,1790760,0,1790760,9.74
,,,,,,64,698027,25.94,3126589,0,3126589,100.0,2451880,0,2451880,13.33
,,,,,,128,869379,32.31,3126589,0,3126589,100.0,3822690,0,3822690,20.78
,,,,,,256,1086499,40.38,3126589,0,3126589,100.0,5559650,0,5559650,30.23
,,,CoderAPCA,0,,4,1290844,47.98,3126589,0,3126589,100.0,7194420,0,7194420,39.12
,,,,,,8,1053783,39.17,3126589,0,3126589,100.0,5297929,0,5297929,28.81
,,,,,,16,952529,35.4,3126589,0,3126589,100.0,4487896,0,4487896,24.4
,,,,,,32,922545,34.29,3126589,0,3126589,100.0,4248015,0,4248015,23.1
,,,,,,64,925994,34.42,3126589,0,3126589,100.0,4275600,0,4275600,23.25
,,,,,,128,943768,35.08,3126589,0,3126589,100.0,4417807,0,4417807,24.02
,,,,,,256,968398,35.99,3126589,0,3126589,100.0,4614840,0,4614840,25.09
,,,,1,,4,1262282,46.92,3126589,0,3126589,100.0,6965916,0,6965916,37.88
,,,,,,8,1016111,37.77,3126589,0,3126589,100.0,4996550,0,4996550,27.17
,,,,,,16,907424,33.73,3126589,0,3126589,100.0,4127046,0,4127046,22.44
,,,,,,32,871274,32.38,3126589,0,3126589,100.0,3837855,0,3837855,20.87
,,,,,,64,869924,32.33,3126589,0,3126589,100.0,3827040,0,3827040,20.81
,,,,,,128,883660,32.84,3126589,0,3126589,100.0,3936945,0,3936945,21.41
,,,,,,256,904572,33.62,3126589,0,3126589,100.0,4104234,0,4104234,22.32
,,,,3,,4,1183754,44.0,3126589,0,3126589,100.0,6337692,0,6337692,34.46
,,,,,,8,911046,33.86,3126589,0,3126589,100.0,4156035,0,4156035,22.6
,,,,,,16,780542,29.01,3126589,0,3126589,100.0,3112004,0,3112004,16.92
,,,,,,32,726319,27.0,3126589,0,3126589,100.0,2678220,0,2678220,14.56
,,,,,,64,710898,26.42,3126589,0,3126589,100.0,2554832,0,2554832,13.89
,,,,,,128,712787,26.49,3126589,0,3126589,100.0,2569958,0,2569958,13.97
,,,,,,256,722918,26.87,3126589,0,3126589,100.0,2651004,0,2651004,14.41
,,,,5,,4,1122269,41.71,3126589,0,3126589,100.0,5845812,0,5845812,31.79
,,,,,,8,826753,30.73,3126589,0,3126589,100.0,3481673,0,3481673,18.93
,,,,,,16,675963,25.12,3126589,0,3126589,100.0,2275350,0,2275350,12.37
,,,,,,32,604200,22.46,3126589,0,3126589,100.0,1701255,0,1701255,9.25
,,,,,,64,574416,21.35,3126589,0,3126589,100.0,1462976,0,1462976,7.95
,,,,,,128,564997,21.0,3126589,0,3126589,100.0,1387642,0,1387642,7.54
,,,,,,256,565331,21.01,3126589,0,3126589,100.0,1390302,0,1390302,7.56
,,,,10,,4,1091414,40.57,3126589,0,3126589,100.0,5598984,0,5598984,30.44
,,,,,,8,782198,29.07,3126589,0,3126589,100.0,3125239,0,3125239,16.99
,,,,,,16,618443,22.99,3126589,0,3126589,100.0,1815198,0,1815198,9.87
,,,,,,32,534615,19.87,3126589,0,3126589,100.0,1144590,0,1144590,6.22
,,,,,,64,494540,18.38,3126589,0,3126589,100.0,823968,0,823968,4.48
,,,,,,128,477119,17.73,3126589,0,3126589,100.0,684607,0,684607,3.72
,,,,,,256,470977,17.51,3126589,0,3126589,100.0,635472,0,635472,3.46
,,,,15,,4,1088033,40.44,3126589,0,3126589,100.0,5571924,0,5571924,30.3
,,,,,,8,776228,28.85,3126589,0,3126589,100.0,3077477,0,3077477,16.73
,,,,,,16,609277,22.65,3126589,0,3126589,100.0,1741866,0,1741866,9.47
,,,,,,32,522301,19.41,3126589,0,3126589,100.0,1046070,0,1046070,5.69
,,,,,,64,479134,17.81,3126589,0,3126589,100.0,700720,0,700720,3.81
,,,,,,128,459147,17.07,3126589,0,3126589,100.0,540838,0,540838,2.94
,,,,,,256,451067,16.77,3126589,0,3126589,100.0,476190,0,476190,2.59
,,,,20,,4,1086432,40.38,3126589,0,3126589,100.0,5559120,0,5559120,30.23
,,,,,,8,773369,28.74,3126589,0,3126589,100.0,3054623,0,3054623,16.61
,,,,,,16,604695,22.48,3126589,0,3126589,100.0,1705214,0,1705214,9.27
,,,,,,32,515847,19.17,3126589,0,3126589,100.0,994440,0,994440,5.41
,,,,,,64,470552,17.49,3126589,0,3126589,100.0,632064,0,632064,3.44
,,,,,,128,448805,16.68,3126589,0,3126589,100.0,458099,0,458099,2.49
,,,,,,256,439390,16.33,3126589,0,3126589,100.0,382788,0,382788,2.08
,,,,30,,4,1084816,40.32,3126589,0,3126589,100.0,5546184,0,5546184,30.16
,,,,,,8,770564,28.64,3126589,0,3126589,100.0,3032172,0,3032172,16.49
,,,,,,16,600329,22.31,3126589,0,3126589,100.0,1670284,0,1670284,9.08
,,,,,,32,509771,18.95,3126589,0,3126589,100.0,945825,0,945825,5.14
,,,,,,64,462662,17.2,3126589,0,3126589,100.0,568944,0,568944,3.09
,,,,,,128,439064,16.32,3126589,0,3126589,100.0,380171,0,380171,2.07
,,,,,,256,428074,15.91,3126589,0,3126589,100.0,292248,0,292248,1.59
,,,CoderCA,0,,4,1581261,58.77,3126589,0,3126589,100.0,9517740,0,9517740,51.75
,,,,,,8,1337645,49.72,3126589,0,3126589,100.0,7568821,0,7568821,41.15
,,,,,,16,1230397,45.73,3126589,0,3126589,100.0,6710830,0,6710830,36.49
,,,,,,32,1208004,44.9,3126589,0,3126589,100.0,6531690,0,6531690,35.51
,,,,,,64,1226360,45.58,3126589,0,3126589,100.0,6678528,0,6678528,36.31
,,,,,,128,1261730,46.9,3126589,0,3126589,100.0,6961500,0,6961500,37.85
,,,,,,256,1304757,48.49,3126589,0,3126589,100.0,7305714,0,7305714,39.72
,,,,1,,4,1543880,57.38,3126589,0,3126589,100.0,9218700,0,9218700,50.12
,,,,,,8,1284980,47.76,3126589,0,3126589,100.0,7147504,0,7147504,38.86
,,,,,,16,1166476,43.36,3126589,0,3126589,100.0,6199466,0,6199466,33.71
,,,,,,32,1136000,42.22,3126589,0,3126589,100.0,5955660,0,5955660,32.38
,,,,,,64,1148122,42.67,3126589,0,3126589,100.0,6052624,0,6052624,32.91
,,,,,,128,1178024,43.78,3126589,0,3126589,100.0,6291853,0,6291853,34.21
,,,,,,256,1215992,45.2,3126589,0,3126589,100.0,6595596,0,6595596,35.86
,,,,3,,4,1442725,53.62,3126589,0,3126589,100.0,8409456,0,8409456,45.72
,,,,,,8,1139496,42.35,3126589,0,3126589,100.0,5983640,0,5983640,32.53
,,,,,,16,986894,36.68,3126589,0,3126589,100.0,4762814,0,4762814,25.9
,,,,,,32,930153,34.57,3126589,0,3126589,100.0,4308885,0,4308885,23.43
,,,,,,64,922158,34.27,3126589,0,3126589,100.0,4244912,0,4244912,23.08
,,,,,,128,935138,34.76,3126589,0,3126589,100.0,4348753,0,4348753,23.65
,,,,,,256,957759,35.6,3126589,0,3126589,100.0,4529736,0,4529736,24.63
,,,,5,,4,1357676,50.46,3126589,0,3126589,100.0,7729068,0,7729068,42.02
,,,,,,8,1016206,37.77,3126589,0,3126589,100.0,4997304,0,4997304,27.17
,,,,,,16,830638,30.87,3126589,0,3126589,100.0,3512754,0,3512754,19.1
,,,,,,32,747341,27.78,3126589,0,3126589,100.0,2846385,0,2846385,15.48
,,,,,,64,718074,26.69,3126589,0,3126589,100.0,2612240,0,2612240,14.2
,,,,,,128,714386,26.55,3126589,0,3126589,100.0,2582742,0,2582742,14.04
,,,,,,256,722547,26.86,3126589,0,3126589,100.0,2648034,0,2648034,14.4
,,,,10,,4,1314885,48.87,3126589,0,3126589,100.0,7386732,0,7386732,40.16
,,,,,,8,948918,35.27,3126589,0,3126589,100.0,4459013,0,4459013,24.24
,,,,,,16,738592,27.45,3126589,0,3126589,100.0,2776396,0,2776396,15.1
,,,,,,32,631588,23.47,3126589,0,3126589,100.0,1920360,0,1920360,10.44
,,,,,,64,583470,21.69,3126589,0,3126589,100.0,1535408,0,1535408,8.35
,,,,,,128,566053,21.04,3126589,0,3126589,100.0,1396091,0,1396091,7.59
,,,,,,256,563179,20.93,3126589,0,3126589,100.0,1373094,0,1373094,7.47
,,,,15,,4,1310073,48.69,3126589,0,3126589,100.0,7348248,0,7348248,39.95
,,,,,,8,938328,34.88,3126589,0,3126589,100.0,4374279,0,4374279,23.78
,,,,,,16,719575,26.74,3126589,0,3126589,100.0,2624272,0,2624272,14.27
,,,,,,32,603213,22.42,3126589,0,3126589,100.0,1693365,0,1693365,9.21
,,,,,,64,546776,20.32,3126589,0,3126589,100.0,1241856,0,1241856,6.75
,,,,,,128,522936,19.44,3126589,0,3126589,100.0,1051161,0,1051161,5.72
,,,,,,256,515686,19.17,3126589,0,3126589,100.0,993150,0,993150,5.4
,,,,20,,4,1307610,48.6,3126589,0,3126589,100.0,7328532,0,7328532,39.85
,,,,,,8,932652,34.66,3126589,0,3126589,100.0,4328870,0,4328870,23.54
,,,,,,16,709028,26.35,3126589,0,3126589,100.0,2539880,0,2539880,13.81
,,,,,,32,586723,21.81,3126589,0,3126589,100.0,1561455,0,1561455,8.49
,,,,,,64,524854,19.51,3126589,0,3126589,100.0,1066480,0,1066480,5.8
,,,,,,128,496440,18.45,3126589,0,3126589,100.0,839188,0,839188,4.56
,,,,,,256,485961,18.06,3126589,0,3126589,100.0,755352,0,755352,4.11
,,,,30,,4,1305541,48.52,3126589,0,3126589,100.0,7311996,0,7311996,39.76
,,,,,,8,928347,34.5,3126589,0,3126589,100.0,4294433,0,4294433,23.35
,,,,,,16,701304,26.07,3126589,0,3126589,100.0,2478098,0,2478098,13.47
,,,,,,32,574278,21.34,3126589,0,3126589,100.0,1461885,0,1461885,7.95
,,,,,,64,507554,18.86,3126589,0,3126589,100.0,928080,0,928080,5.05
,,,,,,128,474870,17.65,3126589,0,3126589,100.0,666621,0,666621,3.62
,,,,,,256,460892,17.13,3126589,0,3126589,100.0,554796,0,554796,3.02
,,,CoderPWLH,0,,4,3950802,146.84,3126589,0,3126589,100.0,28474074,0,28474074,154.82
,,,,,,8,2912757,108.26,3126589,0,3126589,100.0,20169718,0,20169718,109.67
,,,,,,16,2455060,91.25,3126589,0,3126589,100.0,16508140,0,16508140,89.76
,,,,,,32,2279784,84.73,3126589,0,3126589,100.0,15105927,0,15105927,82.13
,,,,,,64,2223542,82.64,3126589,0,3126589,100.0,14655990,0,14655990,79.69
